"Code","Description"
"3Fh/03h","INQUIRY DATA HAS CHANGED"
"3Fh/04h","COMPONENT DEVICE ATTACHED"
"3Fh/05h","DEVICE IDENTIFIER CHANGED"
"3Fh/06h","REDUNDANCY GROUP CREATED OR MODIFIED"
"3Fh/07h","REDUNDANCY GROUP DELETED"
"3Fh/08h","SPARE CREATED OR MODIFIED"
"3Fh/09h","SPARE DELETED"
"3Fh/0Ah","VOLUME SET CREATED OR MODIFIED"
"3Fh/0Bh","VOLUME SET DELETED"
"3Fh/0Ch","VOLUME SET DEASSIGNED"
"3Fh/0Dh","VOLUME SET REASSIGNED"
"3Fh/0Eh","REPORTED LUNS DATA HAS CHANGED"
"3Fh/0Fh","ECHO BUFFER OVERWRITTEN"
"3Fh/10h","MEDIUM LOADABLE"
"3Fh/11h","MEDIUM AUXILIARY MEMORY ACCESSIBLE"
"3Fh/12h","iSCSI IP ADDRESS ADDED"
"3Fh/13h","iSCSI IP ADDRESS REMOVED"
"3Fh/14h","iSCSI IP ADDRESS CHANGED"
"3Fh/15h","INSPECT REFERRALS SENSE DESCRIPTORS"
"3Fh/16h","MICROCODE HAS BEEN CHANGED WITHOUT RESET"
"3Fh/17h","ZONE TRANSITION TO FULL"
"3Fh/18h","BIND COMPLETED"
"3Fh/19h","BIND REDIRECTED"
"3Fh/1Ah","SUBSIDIARY BINDING CHANGED"
"40h/00h","RAM FAILURE (SHOULD USE 40 NN)"
"40h/NNh","DIAGNOSTIC FAILURE ON COMPONENT NN (80h-FFh)"
"41h/00h","DATA PATH FAILURE (SHOULD USE 40 NN)"
"42h/00h","POWER-ON OR SELF-TEST FAILURE (SHOULD USE 40 NN)"
"43h/00h","MESSAGE ERROR"
"44h/00h","INTERNAL TARGET FAILURE"
"44h/01h","PERSISTENT RESERVATION INFORMATION LOST"
"44h/71h","ATA DEVICE FAILED SET FEATURES"
"45h/00h","SELECT OR RESELECT FAILURE"
"46h/00h","UNSUCCESSFUL SOFT RESET"
"47h/00h","SCSI PARITY ERROR"
"47h/01h","DATA PHASE CRC ERROR DETECTED"
"47h/02h","SCSI PARITY ERROR DETECTED DURING ST DATA PHASE"
"47h/03h","INFORMATION UNIT iuCRC ERROR DETECTED"
"47h/04h","ASYNCHRONOUS INFORMATION PROTECTION ERROR DETECTED"
"47h/05h","PROTOCOL SERVICE CRC ERROR"
"47h/06h","PHY TEST FUNCTION IN PROGRESS"
"47h/7Fh","SOME COMMANDS CLEARED BY ISCSI PROTOCOL EVENT"
"48h/00h","INITIATOR DETECTED ERROR MESSAGE RECEIVED"
"49h/00h","INVALID MESSAGE ERROR"
"4Ah/00h","COMMAND PHASE ERROR"
"4Bh/00h","DATA PHASE ERROR"
"4Bh/01h","INVALID TARGET PORT TRANSFER TAG RECEIVED"
"4Bh/02h","TOO MUCH WRITE DATA"
"4Bh/03h","ACK/NAK TIMEOUT"
"4Bh/04h","NAK RECEIVED"
"4Bh/05h","DATA OFFSET ERROR"
"4Bh/06h","INITIATOR RESPONSE TIMEOUT"
"4Bh/07h","CONNECTION LOST"
"4Bh/08h","DATA-IN BUFFER OVERFLOW - DATA BUFFER SIZE"
"4Bh/09h","DATA-IN BUFFER OVERFLOW - DATA BUFFER DESCRIPTOR AREA"
"4Bh/0Ah","DATA-IN BUFFER ERROR"
"4Bh/0Bh","DATA-OUT BUFFER OVERFLOW - DATA BUFFER SIZE"
"4Bh/0Ch","DATA-OUT BUFFER OVERFLOW - DATA BUFFER DESCRIPTOR AREA"
"4Bh/0Dh","DATA-OUT BUFFER ERROR"
"4Bh/0Eh","PCIE FABRIC ERROR"
"4Bh/0Fh","PCIE COMPLETION TIMEOUT"
"4Bh/10h","PCIE COMPLETER ABORT"
"4Bh/11h","PCIE POISONED TLP RECEIVED"
"4Bh/12h","PCIE ECRC CHECK FAILED"
"4Bh/13h","PCIE UNSUPPORTED REQUEST"
"4Bh/14h","PCIE ACS VIOLATION"
"4Bh/15h","PCIE TLP PREFIX BLOCKED"
"4Ch/00h","LOGICAL UNIT FAILED SELF-CONFIGURATION"
"4Dh/NNh","TAGGED OVERLAPPED COMMANDS (NN = TASK TAG)"
"4Eh/00h","OVERLAPPED COMMANDS ATTEMPTED"
"50h/00h","WRITE APPEND ERROR"
"50h/01h","WRITE APPEND POSITION ERROR"
"50h/02h","POSITION ERROR RELATED TO TIMING"
"51h/00h","ERASE FAILURE"
"51h/01h","ERASE FAILURE - INCOMPLETE ERASE OPERATION DETECTED"
"52h/00h","CARTRIDGE FAULT"
"53h/00h","MEDIA LOAD OR EJECT FAILED"
"53h/01h","UNLOAD TAPE FAILURE"
"53h/02h","MEDIUM REMOVAL PREVENTED"
"53h/03h","MEDIUM REMOVAL PREVENTED BY DATA TRANSFER ELEMENT"
"53h/04h","MEDIUM THREAD OR UNTHREAD FAILURE"
"53h/05h","VOLUME IDENTIFIER INVALID"
"53h/06h","VOLUME IDENTIFIER MISSING"
"53h/07h","DUPLICATE VOLUME IDENTIFIER"
"53h/08h","ELEMENT STATUS UNKNOWN"
"53h/09h","DATA TRANSFER DEVICE ERROR - LOAD FAILED"
"53h/0Ah","DATA TRANSFER DEVICE ERROR - UNLOAD FAILED"
"53h/0Bh","DATA TRANSFER DEVICE ERROR - UNLOAD MISSING"
"53h/0Ch","DATA TRANSFER DEVICE ERROR - EJECT FAILED"
"53h/0Dh","DATA TRANSFER DEVICE ERROR - LIBRARY COMMUNICATION FAILED"
"54h/00h","SCSI TO HOST SYSTEM INTERFACE FAILURE"
"55h/00h","SYSTEM RESOURCE FAILURE"
"55h/01h","SYSTEM BUFFER FULL"
"55h/02h","INSUFFICIENT RESERVATION RESOURCES"
"55h/03h","INSUFFICIENT RESOURCES"
"55h/04h","INSUFFICIENT REGISTRATION RESOURCES"
"55h/05h","INSUFFICIENT ACCESS CONTROL RESOURCES"
"55h/06h","AUXILIARY MEMORY OUT OF SPACE"
"55h/07h","QUOTA ERROR"
"55h/08h","MAXIMUM NUMBER OF SUPPLEMENTAL DECRYPTION KEYS EXCEEDED"
"55h/09h","MEDIUM AUXILIARY MEMORY NOT ACCESSIBLE"
"55h/0Ah","DATA CURRENTLY UNAVAILABLE"
"55h/0Bh","INSUFFICIENT POWER FOR OPERATION"
"55h/0Ch","INSUFFICIENT RESOURCES TO CREATE ROD"
"55h/0Dh","INSUFFICIENT RESOURCES TO CREATE ROD TOKEN"
"55h/0Eh","INSUFFICIENT ZONE RESOURCES"
"55h/0Fh","INSUFFICIENT ZONE RESOURCES TO COMPLETE WRITE"
"55h/10h","MAXIMUM NUMBER OF STREAMS OPEN"
"55h/11h","INSUFFICIENT RESOURCES TO BIND"
"57h/00h","UNABLE TO RECOVER TABLE-OF-CONTENTS"
"58h/00h","GENERATION DOES NOT EXIST"
"59h/00h","UPDATED BLOCK READ"
"5Ah/00h","OPERATOR REQUEST OR STATE CHANGE INPUT"
"5Ah/01h","OPERATOR MEDIUM REMOVAL REQUEST"
"5Ah/02h","OPERATOR SELECTED WRITE PROTECT"
"5Ah/03h","OPERATOR SELECTED WRITE PERMIT"
"5Bh/00h","LOG EXCEPTION"
"5Bh/01h","THRESHOLD CONDITION MET"
"5Bh/02h","LOG COUNTER AT MAXIMUM"
"5Bh/03h","LOG LIST CODES EXHAUSTED"
"5Ch/00h","RPL STATUS CHANGE"
"5Ch/01h","SPINDLES SYNCHRONIZED"
"5Ch/02h","SPINDLES NOT SYNCHRONIZED"
"5Dh/00h","FAILURE PREDICTION THRESHOLD EXCEEDED"
"5Dh/01h","MEDIA FAILURE PREDICTION THRESHOLD EXCEEDED"
"5Dh/02h","LOGICAL UNIT FAILURE PREDICTION THRESHOLD EXCEEDED"
"5Dh/03h","SPARE AREA EXHAUSTION PREDICTION THRESHOLD EXCEEDED"
"5Dh/10h","HARDWARE IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/11h","HARDWARE IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/12h","HARDWARE IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/13h","HARDWARE IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/14h","HARDWARE IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/15h","HARDWARE IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/16h","HARDWARE IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/17h","HARDWARE IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/18h","HARDWARE IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/19h","HARDWARE IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/1Ah","HARDWARE IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/1Bh","HARDWARE IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/1Ch","HARDWARE IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/1Dh","HARDWARE IMPENDING FAILURE POWER LOSS PROTECTION CIRCUIT"
"5Dh/20h","CONTROLLER IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/21h","CONTROLLER IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/22h","CONTROLLER IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/23h","CONTROLLER IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/24h","CONTROLLER IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/25h","CONTROLLER IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/26h","CONTROLLER IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/27h","CONTROLLER IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/28h","CONTROLLER IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/29h","CONTROLLER IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/2Ah","CONTROLLER IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/2Bh","CONTROLLER IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/2Ch","CONTROLLER IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/30h","DATA CHANNEL IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/31h","DATA CHANNEL IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/32h","DATA CHANNEL IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/33h","DATA CHANNEL IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/34h","DATA CHANNEL IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/35h","DATA CHANNEL IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/36h","DATA CHANNEL IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/37h","DATA CHANNEL IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/38h","DATA CHANNEL IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/39h","DATA CHANNEL IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/3Ah","DATA CHANNEL IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/3Bh","DATA CHANNEL IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/3Ch","DATA CHANNEL IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/40h","SERVO IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/41h","SERVO IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/42h","SERVO IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/43h","SERVO IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/44h","SERVO IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/45h","SERVO IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/46h","SERVO IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/47h","SERVO IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/48h","SERVO IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/49h","SERVO IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/4Ah","SERVO IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/4Bh","SERVO IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/4Ch","SERVO IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/50h","SPINDLE IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/51h","SPINDLE IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/52h","SPINDLE IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/53h","SPINDLE IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/54h","SPINDLE IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/55h","SPINDLE IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/56h","SPINDLE IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/57h","SPINDLE IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/58h","SPINDLE IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/59h","SPINDLE IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/5Ah","SPINDLE IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/5Bh","SPINDLE IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/5Ch","SPINDLE IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/60h","FIRMWARE IMPENDING FAILURE GENERAL HARD DRIVE FAILURE"
"5Dh/61h","FIRMWARE IMPENDING FAILURE DRIVE ERROR RATE TOO HIGH"
"5Dh/62h","FIRMWARE IMPENDING FAILURE DATA ERROR RATE TOO HIGH"
"5Dh/63h","FIRMWARE IMPENDING FAILURE SEEK ERROR RATE TOO HIGH"
"5Dh/64h","FIRMWARE IMPENDING FAILURE TOO MANY BLOCK REASSIGNS"
"5Dh/65h","FIRMWARE IMPENDING FAILURE ACCESS TIMES TOO HIGH"
"5Dh/66h","FIRMWARE IMPENDING FAILURE START UNIT TIMES TOO HIGH"
"5Dh/67h","FIRMWARE IMPENDING FAILURE CHANNEL PARAMETRICS"
"5Dh/68h","FIRMWARE IMPENDING FAILURE CONTROLLER DETECTED"
"5Dh/69h","FIRMWARE IMPENDING FAILURE THROUGHPUT PERFORMANCE"
"5Dh/6Ah","FIRMWARE IMPENDING FAILURE SEEK TIME PERFORMANCE"
"5Dh/6Bh","FIRMWARE IMPENDING FAILURE SPIN-UP RETRY COUNT"
"5Dh/6Ch","FIRMWARE IMPENDING FAILURE DRIVE CALIBRATION RETRY COUNT"
"5Dh/73h","MEDIA IMPENDING FAILURE ENDURANCE LIMIT MET"
"5Dh/FFh","FAILURE PREDICTION THRESHOLD EXCEEDED (FALSE)"
"5Eh/00h","LOW POWER CONDITION ON"
"5Eh/01h","IDLE CONDITION ACTIVATED BY TIMER"
"5Eh/02h","STANDBY CONDITION ACTIVATED BY TIMER"
"5Eh/03h","IDLE CONDITION ACTIVATED BY COMMAND"
"5Eh/04h","STANDBY CONDITION ACTIVATED BY COMMAND"
"5Eh/05h","IDLE_B CONDITION ACTIVATED BY TIMER"
"5Eh/06h","IDLE_B CONDITION ACTIVATED BY COMMAND"
"5Eh/07h","IDLE_C CONDITION ACTIVATED BY TIMER"
"5Eh/08h","IDLE_C CONDITION ACTIVATED BY COMMAND"
"5Eh/09h","STANDBY_Y CONDITION ACTIVATED BY TIMER"
"5Eh/0Ah","STANDBY_Y CONDITION ACTIVATED BY COMMAND"
"5Eh/41h","POWER STATE CHANGE TO ACTIVE"
"5Eh/42h","POWER STATE CHANGE TO IDLE"
"5Eh/43h","POWER STATE CHANGE TO STANDBY"
"5Eh/45h","POWER STATE CHANGE TO SLEEP"
"5Eh/47h","POWER STATE CHANGE TO DEVICE CONTROL"
"60h/00h","LAMP FAILURE"
"61h/00h","VIDEO ACQUISITION ERROR"
"61h/01h","UNABLE TO ACQUIRE VIDEO"
"61h/02h","OUT OF FOCUS"
"62h/00h","SCAN HEAD POSITIONING ERROR"
"63h/00h","END OF USER AREA ENCOUNTERED ON THIS TRACK"
"63h/01h","PACKET DOES NOT FIT IN AVAILABLE SPACE"
"64h/00h","ILLEGAL MODE FOR THIS TRACK"
"64h/01h","INVALID PACKET SIZE"
"65h/00h","VOLTAGE FAULT"
"66h/00h","AUTOMATIC DOCUMENT FEEDER COVER UP"
"66h/01h","AUTOMATIC DOCUMENT FEEDER LIFT UP"
"66h/02h","DOCUMENT JAM IN AUTOMATIC DOCUMENT FEEDER"
"66h/03h","DOCUMENT MISS FEED AUTOMATIC IN DOCUMENT FEEDER"
"67h/00h","CONFIGURATION FAILURE"
"67h/01h","CONFIGURATION OF INCAPABLE LOGICAL UNITS FAILED"
"67h/02h","ADD LOGICAL UNIT FAILED"
"67h/03h","MODIFICATION OF LOGICAL UNIT FAILED"
"67h/04h","EXCHANGE OF LOGICAL UNIT FAILED"
"67h/05h","REMOVE OF LOGICAL UNIT FAILED"
"67h/06h","ATTACHMENT OF LOGICAL UNIT FAILED"
"67h/07h","CREATION OF LOGICAL UNIT FAILED"
"67h/08h","ASSIGN FAILURE OCCURRED"
"67h/09h","MULTIPLY ASSIGNED LOGICAL UNIT"
"67h/0Ah","SET TARGET PORT GROUPS COMMAND FAILED"
"67h/0Bh","ATA DEVICE FEATURE NOT ENABLED"
"67h/0Ch","COMMAND REJECTED"
"67h/0Dh","EXPLICIT BIND NOT ALLOWED"
"68h/00h","LOGICAL UNIT NOT CONFIGURED"
"68h/01h","SUBSIDIARY LOGICAL UNIT NOT CONFIGURED"
"69h/00h","DATA LOSS ON LOGICAL UNIT"
"69h/01h","MULTIPLE LOGICAL UNIT FAILURES"
"69h/02h","PARITY/DATA MISMATCH"
"6Ah/00h","INFORMATIONAL, REFER TO LOG"
"6Bh/00h","STATE CHANGE HAS OCCURRED"
"6Bh/01h","REDUNDANCY LEVEL GOT BETTER"
"6Bh/02h","REDUNDANCY LEVEL GOT WORSE"
"6Ch/00h","REBUILD FAILURE OCCURRED"
"6Dh/00h","RECALCULATE FAILURE OCCURRED"
"6Eh/00h","COMMAND TO LOGICAL UNIT FAILED"
"6Fh/00h","COPY PROTECTION KEY EXCHANGE FAILURE - AUTHENTICATION FAILURE"
"6Fh/01h","COPY PROTECTION KEY EXCHANGE FAILURE - KEY NOT PRESENT"
"6Fh/02h","COPY PROTECTION KEY EXCHANGE FAILURE - KEY NOT ESTABLISHED"
"6Fh/03h","READ OF SCRAMBLED SECTOR WITHOUT AUTHENTICATION"
"6Fh/04h","MEDIA REGION CODE IS MISMATCHED TO LOGICAL UNIT REGION"
"6Fh/05h","DRIVE REGION MUST BE PERMANENT/REGION RESET COUNT ERROR"
"6Fh/06h","INSUFFICIENT BLOCK COUNT FOR BINDING NONCE RECORDING"
"6Fh/07h","CONFLICT IN BINDING NONCE RECORDING"
"6Fh/08h","INSUFFICIENT PERMISSION"
"6Fh/09h","INVALID DRIVE-HOST PAIRING SERVER"
"6Fh/0Ah","DRIVE-HOST PAIRING SUSPENDED"
"70h/NNh","DECOMPRESSION EXCEPTION SHORT ALGORITHM ID OF NN"
"71h/00h","DECOMPRESSION EXCEPTION LONG ALGORITHM ID"
"72h/00h","SESSION FIXATION ERROR"
"72h/01h","SESSION FIXATION ERROR WRITING LEAD-IN"
"72h/02h","SESSION FIXATION ERROR WRITING LEAD-OUT"
"72h/03h","SESSION FIXATION ERROR - INCOMPLETE TRACK IN SESSION"
"72h/04h","EMPTY OR PARTIALLY WRITTEN RESERVED TRACK"
"72h/05h","NO MORE TRACK RESERVATIONS ALLOWED"
"72h/06h","RMZ EXTENSION IS NOT ALLOWED"
"72h/07h","NO MORE TEST ZONE EXTENSIONS ARE ALLOWED"
"73h/00h","CD CONTROL ERROR"
"73h/01h","POWER CALIBRATION AREA ALMOST FULL"
"73h/02h","POWER CALIBRATION AREA IS FULL"
"73h/03h","POWER CALIBRATION AREA ERROR"
"73h/04h","PROGRAM MEMORY AREA UPDATE FAILURE"
"73h/05h","PROGRAM MEMORY AREA IS FULL"
"73h/06h","RMA/PMA IS ALMOST FULL"
"73h/10h","CURRENT POWER CALIBRATION AREA ALMOST FULL"
"73h/11h","CURRENT POWER CALIBRATION AREA IS FULL"
"73h/17h","RDZ IS FULL"
"74h/00h","SECURITY ERROR"
"74h/01h","UNABLE TO DECRYPT DATA"
"74h/02h","UNENCRYPTED DATA ENCOUNTERED WHILE DECRYPTING"
"74h/03h","INCORRECT DATA ENCRYPTION KEY"
"74h/04h","CRYPTOGRAPHIC INTEGRITY VALIDATION FAILED"
"74h/05h","ERROR DECRYPTING DATA"
"74h/06h","UNKNOWN SIGNATURE VERIFICATION KEY"
"74h/07h","ENCRYPTION PARAMETERS NOT USEABLE"
"74h/08h","DIGITAL SIGNATURE VALIDATION FAILURE"
"74h/09h","ENCRYPTION MODE MISMATCH ON READ"
"74h/0Ah","ENCRYPTED BLOCK NOT RAW READ ENABLED"
"74h/0Bh","INCORRECT ENCRYPTION PARAMETERS"
"74h/0Ch","UNABLE TO DECRYPT PARAMETER LIST"
"74h/0Dh","ENCRYPTION ALGORITHM DISABLED"
"74h/10h","SA CREATION PARAMETER VALUE INVALID"
"74h/11h","SA CREATION PARAMETER VALUE REJECTED"
"74h/12h","INVALID SA USAGE"
"74h/21h","DATA ENCRYPTION CONFIGURATION PREVENTED"
"74h/30h","SA CREATION PARAMETER NOT SUPPORTED"
"74h/40h","AUTHENTICATION FAILED"
"74h/61h","EXTERNAL DATA ENCRYPTION KEY MANAGER ACCESS ERROR"
"74h/62h","EXTERNAL DATA ENCRYPTION KEY MANAGER ERROR"
"74h/63h","EXTERNAL DATA ENCRYPTION KEY NOT FOUND"
"74h/64h","EXTERNAL DATA ENCRYPTION REQUEST NOT AUTHORIZED"
"74h/6Eh","EXTERNAL DATA ENCRYPTION CONTROL TIMEOUT"
"74h/6Fh","EXTERNAL DATA ENCRYPTION CONTROL ERROR"
"74h/71h","LOGICAL UNIT ACCESS NOT AUTHORIZED"
"74h/79h","SECURITY CONFLICT IN TRANSLATED DEVICE"
